epochs,hidden_layers,neurons_per_layer,learning_rate,tr_loss,tr_loss_std,te_loss,te_loss_std
10,1,32,0.001,0.012634802342953074,0.009874711171416077,0.05923944041132927,0.039319159477981994
10,1,32,0.0001,0.04624863014714167,0.01876333367865945,0.0640247106552124,0.0212986923540103
10,1,32,1e-05,0.08828269994844454,0.005032118132497019,0.08972210735082627,0.0062342042540535275
10,1,64,0.001,0.008503949429071678,0.005333776644329891,0.05233054980635643,0.05047260628016718
10,1,64,0.0001,0.03533962595837411,0.02297653005811988,0.05572740025818348,0.027195676512068466
10,1,64,1e-05,0.08597281611592958,0.005938407090731272,0.08877156227827072,0.007918132566382423
10,1,128,0.001,0.005728854468437837,0.004645554070280049,0.044449939671903846,0.05991295907616208
10,1,128,0.0001,0.0249752577630983,0.02264935501093859,0.04522131690755486,0.031779727265155634
10,1,128,1e-05,0.08219943828434467,0.0067891281588500305,0.08541239500045776,0.008696953216404032
10,1,256,0.001,0.00949886776292919,0.003570327781512138,0.05486261248588562,0.05836587334430799
10,1,256,0.0001,0.014479993754761115,0.016218462412282284,0.034482062049210074,0.03386972058454608
10,1,256,1e-05,0.07532482141890703,0.007967854945796368,0.08052437752485275,0.009935027142130053
10,4,32,0.001,0.01718480933076892,0.012141394485524258,0.06811293736100196,0.04592416079354125
10,4,32,0.0001,0.02965866188436575,0.026613170091953672,0.05733418576419354,0.03031482441832976
10,4,32,1e-05,0.09418042885086027,0.007973638175177468,0.0942972481250763,0.008288584547541635
10,4,64,0.001,0.01013787732515561,0.007951267546316386,0.07103441338986158,0.06887124525641843
10,4,64,0.0001,0.014086760078502406,0.01759696453891748,0.04397607557475567,0.040035983656601264
10,4,64,1e-05,0.08749463070576755,0.0062266202111837254,0.08926988840103149,0.0069974870669070755
10,4,128,0.001,0.008616430290504459,0.005977254404636867,0.07103920299559832,0.08612391645328892
10,4,128,0.0001,0.005246629452989156,0.004420595421959564,0.04616897366940975,0.059941927889313296
10,4,128,1e-05,0.07621720332366685,0.012006777289470397,0.08108550235629082,0.012883465081993494
10,4,256,0.001,0.00954803971154686,0.004897652500989632,0.06847836524248123,0.08451357056864729
10,4,256,0.0001,0.0019164788215466587,0.0009379107630142875,0.05883743362501263,0.09978383193004034
10,4,256,1e-05,0.04941811585174383,0.02913561768848603,0.061798498034477234,0.028066203424114148
10,8,32,0.001,0.018394058834224753,0.013595720460318917,0.06251441016793251,0.04059807440072729
10,8,32,0.0001,0.056069478796223725,0.01962242344123771,0.07676972225308418,0.017328628260703614
10,8,32,1e-05,0.10029572712394377,0.009336349934162082,0.099653260409832,0.009655977194845759
10,8,64,0.001,0.012122309562415865,0.008460967394074622,0.07272747978568077,0.07202126474311608
10,8,64,0.0001,0.018764104987895804,0.020931354005577066,0.05293315816670656,0.0360902767857968
10,8,64,1e-05,0.09153537993935255,0.005692636054170446,0.09204516410827637,0.006831283831659116
10,8,128,0.001,0.010027002476159808,0.006656722483653784,0.07261589076370001,0.07892477376465473
10,8,128,0.0001,0.005865359100303844,0.005256363144194272,0.05166570078581571,0.0635258522086339
10,8,128,1e-05,0.07895100871725871,0.013168005517367045,0.08334685862064362,0.011702315366573728
10,8,256,0.001,0.01656050530733764,0.006719263844931001,0.0940040897578001,0.06758501366366211
10,8,256,0.0001,0.003992027208185455,0.0023200957706487357,0.060105462558567524,0.09384277083880142
10,8,256,1e-05,0.040835448956250256,0.03216172381099234,0.058833759650588034,0.032224111707719244
10,12,32,0.001,0.018289569847969596,0.014203324347264833,0.07218371815979481,0.04802514676861853
10,12,32,0.0001,0.05342126271511523,0.02017326746549719,0.07530640438199043,0.016396920433896317
10,12,32,1e-05,0.10334340524666322,0.009812017323213131,0.10286355167627334,0.009405960220460006
10,12,64,0.001,0.014087551770147758,0.010429457552359456,0.06988718211650849,0.06322583602338572
10,12,64,0.0001,0.024777594508028855,0.023804604857312207,0.054106095992028716,0.03370909536995511
10,12,64,1e-05,0.09416776802985907,0.007088191358904474,0.09381910562515258,0.007497175905929666
10,12,128,0.001,0.01308247126673177,0.008222309030096932,0.09912465773522854,0.07483959392167734
10,12,128,0.0001,0.0070824794039467285,0.006373800628413682,0.0456854298710823,0.05781214718671305
10,12,128,1e-05,0.08068945339401834,0.012373761113476059,0.0852161094546318,0.010097537918259823
10,12,256,0.001,0.040079041042165364,0.02847497084834421,0.3513841815292835,0.3565045077839601
10,12,256,0.0001,0.004614825100379737,0.0020635358568978075,0.05726344576105476,0.08657443101570296
10,12,256,1e-05,0.048683331893480265,0.029637124217773255,0.0656334649771452,0.027919521443686625
10,16,32,0.001,0.023327749179257205,0.017639016062694784,0.07366344742476941,0.04555055176399228
10,16,32,0.0001,0.06372207787286596,0.01900022702052044,0.08146467357873917,0.01797074478123645
10,16,32,1e-05,0.10467817917251929,0.009806460896100428,0.10380305200815201,0.010235418231841901
10,16,64,0.001,0.013941904321735291,0.012997796974840391,0.06011420302093029,0.04393296246716886
10,16,64,0.0001,0.026190375909208675,0.025071668813528507,0.05787535049021244,0.030751937049194718
10,16,64,1e-05,0.09556458706315904,0.006897303537629835,0.09558886885643006,0.0075405324371889595
10,16,128,0.001,0.025680825230084352,0.008840101672348161,0.1554039165377617,0.07814421695652536
10,16,128,0.0001,0.008866212138767995,0.008824057261625003,0.0459586039185524,0.05164209750198134
10,16,128,1e-05,0.08618439894226104,0.007832156766318855,0.08806320577859879,0.008662735607620908
10,16,256,0.001,19.431407389980404,38.82163793380023,19.516687523946167,38.774806485513864
10,16,256,0.0001,0.004056023091054518,0.0026467864086993477,0.05830048760399222,0.08571397143495156
10,16,256,1e-05,0.05425916572234195,0.027999213790357566,0.06807251162827015,0.02611676211878464
25,1,32,0.001,0.0038832156961066356,0.002547476601464797,0.07797004785388709,0.09649432079366577
25,1,32,0.0001,0.02071838221591213,0.01964451792051734,0.05194736775010824,0.030235605255472774
25,1,32,1e-05,0.08063769591525911,0.0063831864748050355,0.08527957946062088,0.008203582248776708
25,1,64,0.001,0.0037681648233886963,0.003336145939366886,0.07051685191690922,0.09039636343622635
25,1,64,0.0001,0.010119144009665517,0.011986835845013527,0.03766842093318701,0.03638421863541922
25,1,64,1e-05,0.07236683375704975,0.008852475926628633,0.07929533571004868,0.010570882692047026
25,1,128,0.001,0.0023629834660052157,0.0013977301858427943,0.0675171791575849,0.10070878320283098
25,1,128,0.0001,0.005347180355618359,0.005292736481868183,0.03180912658572197,0.040480984604774804
25,1,128,1e-05,0.06596096337775882,0.010912436180432368,0.07541423290967941,0.013461606999726214
25,1,256,0.001,0.002861467532242884,0.0014002894491591954,0.06548717739060521,0.09926176114568812
25,1,256,0.0001,0.003379090244742694,0.0015112936277225219,0.03399832756258547,0.051864584881535364
25,1,256,1e-05,0.05323005428972146,0.015871553586844233,0.0664018765091896,0.018951986098497887
25,4,32,0.001,0.005057523802428819,0.002460850457860919,0.09588380064815283,0.11479869771896949
25,4,32,0.0001,0.006500940046440756,0.008594802671368446,0.05928451605141163,0.05456955926302
25,4,32,1e-05,0.08020269631619414,0.00926259203164162,0.08431566506624222,0.009968051958717009
25,4,64,0.001,0.004786578058115531,0.002443061814731587,0.07798049151897431,0.09426372067724459
25,4,64,0.0001,0.003340895333347649,0.002354401385594082,0.06755581824108958,0.10335753525940229
25,4,64,1e-05,0.057449699354360985,0.02253772253992865,0.07131098955869675,0.02050721276382281
25,4,128,0.001,0.0035687987464292957,0.0017943172453203312,0.08489730199798942,0.1194276029909052
25,4,128,0.0001,0.0013861373826674023,0.0003269102515262966,0.07005946729332209,0.11914245662476805
25,4,128,1e-05,0.03016322826981623,0.030341819774765716,0.05104301264509559,0.03365748321681075
25,4,256,0.001,0.00299823402428217,0.00160773340984661,0.09832912497222424,0.12782795130142618
25,4,256,0.0001,0.0017256733146093419,0.0009223621252905106,0.0688352613709867,0.11358424176435014
25,4,256,1e-05,0.013848736594541253,0.021482145077887878,0.03641900382936001,0.039209626865727945
25,8,32,0.001,0.0059853805428675836,0.0019569280590387103,0.09658204223960638,0.11300014573831313
25,8,32,0.0001,0.011366918247957788,0.00976932602054929,0.06764442697167397,0.04786059660034193
25,8,32,1e-05,0.08798143566711046,0.005178630304023121,0.08998416513204574,0.006688504508900026
25,8,64,0.001,0.0034941806536764237,0.001697358827533255,0.11882002279162407,0.1532448680215362
25,8,64,0.0001,0.0037274653071425997,0.0033437450162881925,0.0637146576307714,0.07914027223615848
25,8,64,1e-05,0.0668964608021961,0.020838252662812126,0.07875530570745468,0.01517508527346244
25,8,128,0.001,0.009201770942290017,0.0031543452774694582,0.1485665999352932,0.21165529978301326
25,8,128,0.0001,0.0031110850528191856,0.0016890568706567717,0.06951726246625185,0.10785101351349263
25,8,128,1e-05,0.03125464425755137,0.032595259283487936,0.05583199178799987,0.03704686365050962
25,8,256,0.001,0.013904553913928114,0.005153449811015505,0.2237842559814453,0.22271761387653569
25,8,256,0.0001,0.001666756684376584,0.0006232417617869771,0.0848120303824544,0.13960002753218503
25,8,256,1e-05,0.01141964920934145,0.017320121568908206,0.040603599743917584,0.04433686690378894
25,12,32,0.001,0.0077065535718299286,0.003328984908536129,0.10443982668220997,0.11800489152330003
25,12,32,0.0001,0.02386199814513305,0.0182602748060578,0.06994671970605851,0.029877492395614942
25,12,32,1e-05,0.0924204006947327,0.005953249930711224,0.09310256093740463,0.007117895304558672
25,12,64,0.001,0.0066639445424264785,0.0037281878952714186,0.08891322650015354,0.10876154113044671
25,12,64,0.0001,0.0048197894238179075,0.003626760351079371,0.05557035487145186,0.06386777301928401
25,12,64,1e-05,0.07301507702739998,0.017380457759562422,0.08289677500724793,0.011265197759733106
25,12,128,0.001,0.009277516472577243,0.0070187450901625925,0.1678511206060648,0.2314354230600722
25,12,128,0.0001,0.0034353020761257297,0.003441596939570096,0.08312348639592529,0.12740283333781957
25,12,128,1e-05,0.03278146818362282,0.030279138971672333,0.05732113542035222,0.033523982282243944
25,12,256,0.001,38.83728469145399,47.550634689820164,39.035843186080456,47.38216380104865
25,12,256,0.0001,0.004898337556137085,0.003935182808627843,0.08253170363605022,0.11354809433122458
25,12,256,1e-05,0.01527066953302604,0.018170026716258947,0.0424206315074116,0.04326093925566988
25,16,32,0.001,0.007476276013883794,0.004665985800979667,0.11247018463909626,0.1257876777901509
25,16,32,0.0001,0.043808573034827034,0.013588391776499202,0.07136040180921555,0.02195429826710391
25,16,32,1e-05,0.09154836468208141,0.005400665627296981,0.09225516617298127,0.006901513338966382
25,16,64,0.001,0.005600434697097835,0.002485599129361383,0.09351375252008438,0.10717661233120764
25,16,64,0.0001,0.0049119039229943914,0.0038778472045056917,0.07028100695461034,0.07739363595595006
25,16,64,1e-05,0.07723179163200002,0.01328370562834536,0.08432463556528091,0.01033864821631816
25,16,128,0.001,0.004824686688355554,0.0028699512879027792,0.23356110136955976,0.3535529033354374
25,16,128,0.0001,0.002710120283691052,0.0018603000026245467,0.08599333036690951,0.13952247059310455
25,16,128,1e-05,0.04328152035632112,0.029685971403926273,0.06418278701603412,0.028886925757173474
25,16,256,0.001,0.11679143561622493,0.09556877146088373,0.4721562653779984,0.15318430718918813
25,16,256,0.0001,0.0019154712071485706,0.0008566415425626094,0.12095898222178221,0.2012501248798742
25,16,256,1e-05,0.0163132182243858,0.018447541315536616,0.045208010356873274,0.04314978779769023
20,1,32,0.001,0.0038344387218985226,0.0023177811757834252,0.06532259322702885,0.08433147254858364
20,1,32,0.0001,0.02417360794694779,0.01958864101763282,0.05188340581953525,0.028751798663092
20,1,32,1e-05,0.08176201771016414,0.005618821472074996,0.08576806336641311,0.00783378721618287
20,1,64,0.001,0.0033795823718238893,0.003309657989660453,0.0649987488053739,0.09111287650732958
20,1,64,0.0001,0.012628092897550824,0.014900901151950162,0.03839653939940035,0.03438227901556588
20,1,64,1e-05,0.07678398864325908,0.006699861999730021,0.08208814412355422,0.008933390712464668
